filter,n,max_tries,b,search_total_time,insert_total_time,insert_average_time
counting_cuckoo,100,8,3,0.0041,0.0045,0.0045
counting_cuckoo,500,4,3,0.0044,0.0047,0.0047
cuckoo,100,8,3,0.0044,0.0045,0.0045
cuckoo,500,4,3,0.004,0.0044,0.0044
counting_cuckoo,100,8,23,0.0052,0.0036,0.0036
counting_cuckoo,500,4,23,0.0027,0.0038,0.0038
cuckoo,100,8,23,0.0027,0.0039,0.0039
cuckoo,500,4,23,0.0043,0.0056,0.0056
counting_cuckoo,100,8,43,0.0026,0.0039,0.0039
counting_cuckoo,500,4,43,0.0025,0.004,0.004
cuckoo,100,8,43,0.0026,0.0037,0.0037
cuckoo,500,4,43,0.0028,0.004,0.004
counting_cuckoo,100,8,63,0.0027,0.0036,0.0036
counting_cuckoo,500,4,63,0.0027,0.0038,0.0038
cuckoo,100,8,63,0.0025,0.004,0.004
cuckoo,500,4,63,0.0027,0.0039,0.0039
counting_cuckoo,100,8,83,0.0027,0.0045,0.0045
counting_cuckoo,500,4,83,0.0026,0.0038,0.0038
cuckoo,100,8,83,0.0027,0.0078,0.0078
cuckoo,500,4,83,0.0027,0.0042,0.0042
counting_cuckoo,100,8,103,0.0026,0.0037,0.0037
counting_cuckoo,500,4,103,0.0026,0.0039,0.0039
cuckoo,100,8,103,0.0025,0.0035,0.0035
cuckoo,500,4,103,0.0033,0.0041,0.0041
counting_cuckoo,100,8,123,0.0026,0.0035,0.0035
counting_cuckoo,500,4,123,0.0077,0.0169,0.0169
cuckoo,100,8,123,0.0026,0.0037,0.0037
cuckoo,500,4,123,0.0026,0.0042,0.0042
counting_cuckoo,100,8,143,0.003,0.0037,0.0037
counting_cuckoo,500,4,143,0.0036,0.0036,0.0036
cuckoo,100,8,143,0.0026,0.0036,0.0036
cuckoo,500,4,143,0.0031,0.0055,0.0055
counting_cuckoo,100,8,163,0.0026,0.0037,0.0037
counting_cuckoo,500,4,163,0.0051,0.0039,0.0039
cuckoo,100,8,163,0.0028,0.0038,0.0038
cuckoo,500,4,163,0.0029,0.0038,0.0038
counting_cuckoo,100,8,183,0.0026,0.0036,0.0036
counting_cuckoo,500,4,183,0.0044,0.0087,0.0087
cuckoo,100,8,183,0.0026,0.0039,0.0039
cuckoo,500,4,183,0.0025,0.0037,0.0037
counting_cuckoo,100,8,203,0.0036,0.0035,0.0035
counting_cuckoo,500,4,203,0.0049,0.004,0.004
cuckoo,100,8,203,0.0025,0.0041,0.0041
cuckoo,500,4,203,0.0029,0.0038,0.0038
counting_cuckoo,100,8,223,0.0049,0.0037,0.0037
counting_cuckoo,500,4,223,0.0033,0.0034,0.0034
cuckoo,100,8,223,0.0026,0.0035,0.0035
cuckoo,500,4,223,0.0026,0.0038,0.0038
counting_cuckoo,100,8,243,0.0026,0.0084,0.0084
counting_cuckoo,500,4,243,0.0026,0.0038,0.0038
cuckoo,100,8,243,0.0052,0.0038,0.0038
cuckoo,500,4,243,0.0025,0.0037,0.0037
counting_cuckoo,100,8,263,0.0028,0.004,0.004
counting_cuckoo,500,4,263,0.0026,0.0037,0.0037
cuckoo,100,8,263,0.0028,0.004,0.004
cuckoo,500,4,263,0.0028,0.004,0.004
counting_cuckoo,100,8,283,0.0028,0.0044,0.0044
counting_cuckoo,500,4,283,0.0031,0.0038,0.0038
cuckoo,100,8,283,0.0031,0.0038,0.0038
cuckoo,500,4,283,0.0028,0.0034,0.0034
counting_cuckoo,100,8,303,0.0028,0.0058,0.0058
counting_cuckoo,500,4,303,0.0026,0.0043,0.0043
cuckoo,100,8,303,0.0034,0.0043,0.0043
cuckoo,500,4,303,0.0027,0.0038,0.0038
